ganho     it
 10148418  1
 10150987 301
 10154128 601
 10162777 1601
 10171626 2601
 10185885 4001
 10186721 4101
 10189482 4301
 10199231 6201
 10204219 9101
 10232159 14501
 10235223 14601
 10238267 14701
 10242737 14801
 10247781 14901
 10254196 15001
 10266338 15201
 10272382 15301
 10280045 15401
 10287362 15501
 10295020 15701
 10303164 16301
 10313648 18201
 10323400 28101
 10326950 28201
 10335338 28401
 10338094 28701
 10343507 29801
 10347167 29901
 10357039 30101
 10380951 32001
 10380991 32101
 10391652 42401
 10399947 42901
 10405597 43801
 10405702 43901
 10410658 44301
 10413904 44401
 10415835 44501
 10434794 56101
 10442887 57001
 10448216 57701
 10463296 59801
 10471364 70201
 10473793 70701
 10474951 70801
 10488264 73301
 10490987 75001
 10491955 83601
 10497630 84501
 10511627 97501
 10512818 97701
 10516281 98901
 10521649 101401
 10525418 112301
 10528591 114601
 10538294 130336 
